ID,Question,Option1,Option2,Option3,Option4,Option5,Correct,Active
1,"Как называется короткое сочинение, в котором автор выражает свои мысли на какую-то тему?",Эссе,Роман,Сказка,Стихотворение,Пьеса,1,TRUE
2,Чем отличается диссертация от монографии?,"Диссертация — рукопись, монография — печатная книга",Ничем не отличаются,"Диссертация — художественная, монография — научная",Монография — это краткое содержание диссертации,Диссертация — это статья в журнале,1,TRUE
3,Какие жанры относятся к научной информации?,"Реферат, аннотация и рецензия",Заявление и приказ,Удостоверение и паспорт,Журнал и книга,Роман и эссе,1,TRUE
4,"Как называются доводы, которые автор использует, чтобы доказать свою правоту?",Аргументы,Причины,Следствия,Анализ,Синтез,1,TRUE
5,После какой части работы пишется заключение?,После основной части,После введения,После актуальности,После материалов и методов,После аннотации,1,TRUE
6,Какой этап создания работы идёт последним?,Оформление,Написание основной части,Написание выводов,Написание актуальности,Написание введения,1,TRUE
7,Какие части входят в композицию текста?,"Введение, основная часть и заключение",Только введение,Только заключение,Только основная часть,Вступление и результаты,1,TRUE
8,Что показывает график?,Как что-то меняется со временем,Таблицу с цифрами,Фотографию,Карту,Список,1,TRUE
9,Что НЕ относится к видам академического письма?,Язык средств массовой информации,Лекция,Монография,Диссертация,Доклад,1,TRUE
10,Что относится к видам академического письма?,Лекция,Статья из новостной газеты,Роман,Повесть,Рассказ,1,TRUE
11,Какая книга помогает изучить школьный предмет?,Учебник,Путеводитель,Монография,Статья,Доклад,1,TRUE
12,Как называется краткое изложение научной работы?,Реферат,Доклад,Рукопись,Диссертация,Статья,1,TRUE
13,Куда обычно выносят дополнительные материалы?,В приложения,В введение,В заключение,В выводы,В основную часть,1,TRUE
14,Что помогает освоить отдельную тему курса?,Учебное пособие,Статья,Монография,Диссертация,Доклад,1,TRUE
15,Какая форма речи используется в научном стиле?,Письменная,Устная,Диалоговая,Интервью,Песенная,1,TRUE
16,Что такое термин?,Специальное слово из науки,Аббревиатура,Переводчик,Понятие,СМИ,1,TRUE
17,Что такое тезисы?,Основные положения работы,Эссе,План,Содержание,Вступление,1,TRUE
18,Что помогает компактно представить данные в виде строк и столбцов?,Таблица,Реферат,Конспект,Выводы,Заключение,1,TRUE
19,Как называется первая страница научной работы?,Титульный лист,Введение,Шапка,ФИО автора,Эпиграф,1,TRUE
20,Что является простейшей рубрикой текста?,Абзац,План,Содержание,Титульный лист,Реферат,1,TRUE
21,Что содержит развёрнутую информацию о тексте?,Реферат,Монография,Монолог,Отчёт,Статья,1,TRUE
22,"Как называется красноречие, связанное с наукой?",Академическое,Дипломатическое,Национальное,Деловое,Духовное,1,TRUE
23,Что такое рубрикация текста?,Деление текста на части,Составление плана,Написание введения,Создание таблиц,Презентация,1,TRUE
24,Что такое конспект?,"Систематическая запись, объединяющая план и тезисы",Доклад,Статья,Эссе,Диссертация,1,TRUE
25,Какие свойства характерны для термина?,"Точное значение, отсутствие эмоций, нейтральный стиль",Эмоциональность,Двусмысленность,Разговорный стиль,Красочность,1,TRUE
26,Что такое текст?,Связное письменное или устное произведение,Диссертация,Монография,Реферат,Статья,1,TRUE
27,Что такое термин?,Слово из специальной области знаний,Аббревиатура,Понятие,Профессионализм,Жаргон,1,TRUE
28,Что является ядром специального языка?,Термин,Аббревиатура,Морфема,Профессионализм,Жаргон,1,TRUE
29,Какой подстиль связан с научными исследованиями?,Академический,Технический,Терминологический,Учебный,Образовательный,1,TRUE
30,Что такое терминология?,Совокупность специальных слов науки,Тавтология,Словарь,Условные обозначения,Диаграмма,1,TRUE
31,Что такое наука?,Система знаний о мире,Учение о принципах,Учение о формах,Стратегия,Опыт,1,TRUE
32,Что такое научное исследование?,Целенаправленное изучение чего-то,Выработка стратегии,Система методов,Учение о методах,Средство для работы,1,TRUE
33,Что такое методология?,Система методов в науке,Целенаправленное познание,Воспроизведение знаний,Учение о принципах,Совокупность приёмов,1,TRUE
34,Что такое теория?,Обобщение опыта в какой-то области,Выработка стратегии,Целенаправленное познание,Система методов,Совокупность целей,1,TRUE
35,Что лежит в основе методологии исследования?,Общий метод,Диагностический метод,Обобщение практики,Правила искусства,Правила науки,1,TRUE
36,Что такое план-проспект?,Документ о содержании будущей работы,Научный документ,Конспект,План научной работы,Реферат,1,TRUE
37,Что такое аннотация?,Краткая характеристика содержания книги,Краткое содержание,Документ о положениях,Научный документ,Рецензия,1,TRUE
38,Где размещаются приложения в книге?,В конце,В начале,В конце каждой главы,В середине,В виде таблиц,1,TRUE
39,Что содержит предметный указатель?,Перечень тем книги,Перечень авторов,Список источников,Список терминов,Библиографию,1,TRUE
40,Что характерно для научного текста?,"Связность, логичность, доказательность",Краткость,Эмоциональность,Разговорный стиль,Жаргон,1,TRUE
41,От какого лица ведётся речь в научной работе?,От третьего лица,От первого,От нейтрального,От второго,От четвёртого,1,TRUE
42,Как автор диссертации обычно обращается к себе?,Мы,Я,Он,Ты,Вы,1,TRUE
43,Какое качество важно для автора научного текста?,Ясность и доступность изложения,Каллиграфия,Умение писать левой рукой,Красота почерка,Скорость письма,1,TRUE
44,Какое требование предъявляется к научной работе?,"Краткость, избегание повторов",Объёмность,Использование повторов,Много цитат,Художественность,1,TRUE
45,Что является итоговой работой для бакалавра?,Выпускная квалификационная работа,Учебная работа,Научный труд,Методический труд,Диссертация,1,TRUE
46,Что является выпускной работой для магистра?,Магистерская диссертация,Научный труд,Методический труд,Дипломная работа,Монография,1,TRUE
